GICDeviceID,Latitude,Longitude
10369,42.4,-71.8
10372,42.4,-71.8
10373,42.6,-73.9
10374,42.6,-71.5
10376,40.9,-73.9
10377,40.7,-74
10378,40.7,-74
10379,40.7,-74
10380,41.1,-73.8
10381,40.7,-74
10382,40.6,-74.2
10383,40.6,-74.2
10385,41.2,-73.8
10386,40.8,-73.9
10387,41,-73.9
10388,41,-73.9
10430,39.6,-75.6
10431,39.6,-75.7
10432,38.5,-76.6
10433,38.5,-76.6
10434,39.5,-75.1
10435,39.4,-74.6
10436,39.4,-74.6
10450,41,-85
10453,38.5,-81.8
10454,36.6,-79.7
10455,40.1,-82.7
10456,38.2,-82.6
10458,42.2,-86.3
10460,28.9,-96.2
10461,32.2,-100
10462,32.2,-100
10463,35.4,-99.7
10464,35.4,-99.7
10467,37.4,-79.9
10468,37.4,-79.9
10469,37.4,-79.9
10470,37.4,-79.9
10471,37.4,-79.9
10473,28.7,-97.2
10474,28.7,-97.2
10475,40.2,-81.9
10476,40.1,-82.8
10477,31.4,-95.4
10478,42,-86.6
10480,42,-86.6
10481,40.2,-85.3
10482,40.2,-85.3
10483,39,-83
10484,39,-83
10485,39,-83
10487,41.5,-86.4
10489,36.6,-79.3
10490,41.7,-85.9
10492,40.8,-84
10493,36.7,-79.9
10494,36.7,-79.9
10495,36.7,-79.9
10496,36.3,-94.5
10497,40.5,-84.1
10498,40.2,-83.1
10499,40.2,-83.1
10500,41.6,-86.3
10502,36.9,-80.8
10503,36.9,-80.8
10504,36.9,-80.8
10506,38.7,-85.4
10507,40.1,-82.7
10509,39.8,-80.8
10511,41.9,-86.2
10512,40,-82.6
10513,26.1,-97.6
10515,26.1,-97.6
10516,39.6,-81.2
10517,32,-93.2
10518,27.6,-99.3
10519,27.8,-97.6
10520,27.8,-97.6
10521,31.3,-103.1
10524,40.2,-83
10525,40.2,-83
10527,40.3,-83.4
10528,37.2,-80.2
10529,37.2,-80.2
10530,39,-81.9
10531,32.5,-99.8
10532,32.5,-99.8
10534,36.6,-82.7
10537,27.6,-97.7
10538,26.3,-98.2
10539,26.3,-98.2
10541,41.7,-86.5
10542,36,-95.7
10545,37.4,-79.1
10546,37.4,-79.1
10547,37.4,-79.1
10548,26.2,-98.2
10549,26.2,-98.2
10550,26.3,-97.6
10551,26.3,-97.6
10552,40,-83.1
10554,37.9,-87
10557,31.5,-100.3
10558,30.9,-103.4
10559,30.9,-103.4
10560,41,-85.3
10561,41,-83.3
10563,40.7,-81.4
10564,40.7,-84.2
10565,26.1,-98.2
10567,39.2,-87.5
10568,39.2,-87.5
10569,39.2,-87.5
10570,40.2,-80.7
10572,38.4,-82.5
10573,38.4,-82.5
10574,38.4,-82.5
10575,41.7,-86.1
10576,41.7,-86.1
10577,41.4,-84.9
10578,40.2,-82.8
10581,32.8,-94.5
20011,36.4419,-82.2791
20012,37.2587,-86.9781
20013,35.0425,-84.9587
20014,34.1946,-86.7474
20015,36.5949,-87.2533
20016,34.9939,-90.0497
20017,35.0571,-85.3872
20018,35.3859,-89.8042
20019,36.2752,-88.8347
20021,34.8859,-85.7554
20022,36.0193,-84.1575
20023,35.8275,-86.5986
20024,34.8859,-85.7554
20032,34.7964,-86.5207
20026,34.378,-88.8578
20027,36.0465,-86.6059
20028,36.029,-87.985
20029,36.246,-88.612
20031,36.0107,-84.1731
20025,37.2587,-86.9781
