Device1,Device2,PearsonCorrelation,MaxLaggedCorrelation,LagMinutes
10051,10052,0.30594659759351867,0.30594659759351867,0
10051,10063,0.13416394363825493,0.13416394363825493,0
10051,10065,0.12538842753990873,0.12538842753990873,0
10051,10066,-0.03943382271784297,0.09074360252979675,57
10051,10068,0.235398702055439,0.235398702055439,0
10051,10069,-0.12827563026724684,-0.12827563026724684,0
10051,10071,-0.14606103574398557,-0.14606103574398557,0
10051,10072,0.08071714585831394,0.08171295510330068,1
10051,10073,-0.09260037863619185,0.10005680528987,-25
10051,10074,0.054279330085903084,0.0984116457073918,22
10051,10075,0.03560789690748273,0.07226624429553219,-47
10051,10076,-0.26539615397207184,-0.26539615397207184,0
10051,10077,-0.11566068175947618,-0.11566068175947618,0
10051,10078,0.18693801476170094,0.1969877646489165,14
10051,10079,-0.15447700597869501,-0.15447700597869501,0
10051,10080,0.06885496155467058,0.10113749807142289,-43
10051,10083,0.18475254189647491,0.20793632861081754,17
10051,10086,-0.20254522120193524,-0.21196670992703442,35
10051,10087,-0.00609269092412101,0.03615987340960086,60
10051,10088,-0.04708589748444015,-0.1160101567381483,32
10051,10089,,-4.0377248404409676e-16,-59
10051,10090,0.16471865235426353,0.1894219988729395,47
10051,10091,-0.13526622836275312,-0.1944572331055092,51
10051,10094,0.11892303519118287,0.17355189034001836,-8
10051,10096,-0.28974886810942574,-0.32999828711866425,-1
10051,10097,-0.10429858943048863,0.5873341244768931,50
10051,10098,-0.10609044730231294,-0.6637337388231991,-60
10051,10099,-0.1892269182756101,-0.19106131366950882,-1
10051,10102,-0.1050814797670734,-0.12589816522078215,-2
10051,10103,-0.13316747716878122,-0.14807392922173399,5
10051,10107,0.01484167797355935,0.04030661228207024,-5
10051,10111,0.0007234287468353253,-0.057583546982717504,57
10051,10112,-0.026838524698628838,0.06938136425932577,-2
10051,10113,-0.17622289439426064,-0.17622289439426064,0
10051,10114,-0.061209382818746265,0.0623240093425548,60
10051,10115,-0.1666837622611034,-0.1666837622611034,0
10051,10116,-0.07551647239952393,-0.09100267119492889,-1
10051,10117,-0.13322405342017246,-0.2011046161764634,-55
10051,10118,0.11296799386876832,0.15847126259659275,-3
10051,10119,0.07807256358261129,0.1577489046948238,-26
10051,10120,0.11912741133753021,0.13030070525595533,28
10051,10121,-0.15332722651595987,-0.21906010267015918,-59
10051,10180,-0.2691109154086222,-0.2751091354959484,-8
10051,10181,-0.11978434631306333,-0.15560501410753702,-2
10051,10182,-0.021537083679736224,0.12237142291696745,59
10051,10184,-0.16286878525937287,-0.16286878525937287,0
10051,10185,-0.21024475507115187,-0.21024475507115187,0
10051,10186,-0.1585416251699433,-0.1585416251699433,0
10051,10187,-0.22081197237418412,-0.22081197237418412,0
10051,10191,0.27320788581607436,0.27320788581607436,0
10051,10193,0.06971296670357602,0.07938066415473363,-6
10051,10194,-0.16132358791936444,-0.19361029358804405,-1
10051,10195,0.08596628637193253,0.09837675586374656,-2
10051,10196,0.1990109686600288,0.23509700323626473,-39
10051,10197,0.04172281528479331,0.07236636808190527,-7
10051,10199,0.12238921185993296,0.1878415287383684,39
10051,10200,0.09410363707677305,0.09410363707677305,0
10051,10201,-0.005967735840892566,-0.06712356137539807,-7
10051,10202,0.036349019411095036,0.09230878340962774,-11
10051,10203,-0.12642944535593417,-0.12642944535593417,0
10051,10204,0.0901709398657087,0.12356525877315012,54
10051,10205,-0.15453543327680555,-0.15453543327680555,0
10051,10207,0.1587862676999006,0.1587862676999006,0
10051,10208,0.13930034817790077,0.18060857907835123,-6
10051,10209,0.0996974379585242,0.0996974379585242,0
10051,10211,-0.06077078762508145,-0.06849464262781338,16
10051,10212,0.16518146290521096,0.16518146290521096,0
10051,10219,-0.011177606950740169,-0.12172096633551523,23
10051,10220,-0.09737180828776933,0.12442386054455962,60
10051,10222,0.12556779823777275,0.13487325967893773,-1
10051,10223,0.15975905987988392,0.19954814361702267,60
